cod;UNIQUE_CONCAT;
406_873;ABOBRINHAITALIANAEXTRA_A;
406_873;ABOBRINHAITALIANA2A;
606_1015;ALFACECRESPAESPECIAL;
606_1015;ALFACECRESPA18_UNIDADES;
50_241;BANANAPRATA_SPN/A;
50_241;BANANAPRATA_SPPRIMEIRA;
846_;BATATAASTERIXESPECIAL;
846_;BATATAASTERIXN/A;
410_872;BATATA_DOCEROSADAEXTRA;
410_872;BATATA_DOCEROSADA1A;
410_872;BATATA-DOCEROSADA1A;
621_600;BROCOLOSNINJAN/A;
621_600;BROCOLOSNINJATIPO_8_CABECAS;
621_600;BROCOLOSNINJA8_CABECAS;
621_600;BRÓCOLOSNINJA08_CABEÇAS;
820_1029;CEBOLANACIONALMIUDA;
820_1029;CEBOLANACIONALCAIXA_2;
626_1097;CEBOLINHAN/AESPECIAL;
626_1097;CEBOLINHAN/ATIPO_B_10_MACOS;
626_1097;CEBOLINHAN/AB_10_MACOS;
626_1097;CEBOLINHAN/ATIPO_B_10_MAÇOS;
420_874;CENOURAN/AEXTRA_AA;
420_874;CENOURAN/A3A;
630_1087;COENTRON/AESPECIAL;
630_1087;COENTRON/ATIPO_B_20_MACOS;
630_1087;COENTRON/AB_20_MACOS;
630_1087;COENTRON/ATIPO_B_20_MAÇOS;
632_926;COUVEN/AESPECIAL;
632_926;COUVEMANTEIGAESPECIAL;
632_926;COUVEN/ATIPO_B_24_MACOS;
632_926;COUVEN/AB_24_MACOS;
632_926;COUVEMANTEIGAB_(24_MAÇOS)_ABERTA;
632_926;COUVEMANTEIGAB_(24_MÇS);
633_600;COUVE_FLORN/AESPECIAL;
633_600;COUVE_FLORN/ATIPO_08_CABECAS;
633_600;COUVE_FLORN/A08_CABECAS;
633_600;COUVE-FLORN/A08_CABEÇAS;
437_872;INHAMEN/AESPECIAL;
437_872;INHAMEN/A1A;
96_898;LARANJAPERAB_(13/15_DZ);
96_898;LARANJAPERA13_A_15_DZ;
106_910;LIMAOTAITIB_(21/27_DZ);
106_910;LIMAOTAITI21_A_27_DA;
106_910;LIMAOTAITI21_A_27_DZ;
106_910;LIMÃOTAITI21_A_27_DZ;
117_117;MAÇÃGALA110_A_135_FRUTOS;
117_117;MACA_NACIONALGALA110-135_FRUTOS;
117_117;MACA_NACIONALGALA110_A_135;
117_117;MACA_NACIONALGALA110_A_135_FRUTOS;
120_119;MAMAOHAVAI18_FRUTOS;
120_119;MAMAOHAVAITIPO_15_A_18;
120_119;MAMAOHAVAI15_A_18_FRUTOS;
120_119;MAMÃOHAVAÍ15__A_18_FRUTOS;
440_169;MANDIOCAN/AMEDIA;
440_169;MANDIOCAN/AMÉDIA;
131_899;MANGATOMMY_ATKINS15_FRUTOS;
131_899;MANGATOMMY_ATKINSTIPO_13_A_15;
131_899;MANGATOMMY_ATKINS13_A_15_FRUTOS;
131_899;MANGATOMMY_ATCKINS13_A_15_FRUTOS;
135_919;MARACUJAAZEDOB;
135_919;MARACUJAAZEDO4A;
135_919;MARACUJÁAZEDO4A;
139_137;MELANCIAREDON/COMPRIDAGRAUDA_maior_10;
139_137;MELANCIAREDON/COMPRIDAGRAUDA_maior_10_kg;
139_137;MELANCIAN/AGRAUDA;
139_137;MELANCIAN/AGRAÚDA_(MAIOR_QUE_10_KG);
140_891;MELAOAMARELO10/11_FRUTOS;
140_891;MELAOAMARELO10_A_12;
140_891;MELAOAMARELO10_A_12_FRUTOS;
140_891;MELÃOAMARELO10_A_12_FRUTOS;
446_873;PEPINOCOMUMEXTRA_A;
446_873;PEPINOCOMUM2A;
165_165;PERADANJOU_IMPORTADA120_A_150_FRUTOS;
165_165;PERADANJOU_IMP.120_A_150_FRUTOS;
165_165;PERA_ESTRANG.DANJOUN/A;
453_874;PIMENTAOAMARELOEXTRA_AA;
453_874;PIMENTAOAMARELO3A;
453_874;PIMENTÃOAMARELO3A;
659_1268;REPOLHOLISOEXTRA;
659_1268;REPOLHOLISO12/14_CABECAS;
659_1268;REPOLHOLISO12/14_CABEÇAS;
662_662;SALSAN/AN/A;
662_662;SALSAN/ATIPO_06_MACOS;
662_662;SALSAN/A06_MACOS;
662_662;SALSAN/A06_MAÇOS;
472_873;TOMATEACHATADOEXTRA_AA;
472_873;TOMATECARMEM2A;
243_193;UVAITÁLIAA;
243_193;UVAITALIAEXTRA_A;
243_193;UVAITALIAA;
