Produto,Guerra,Guerra Produto + Classificação,"Concat(Produto,Variedade,Classificação)"
Produto,Guerra,Guerra Produto + Classificação,Produto_Variedade_Classificação
ABACATE,4,4@443,ABACATE_FUCKS_BOCA_8_A_11
ABACATE,4,4@444,ABACATE_FUCKS_BOCA_12_A_15
ABACATE,5,5@928,ABACATE_GEADA_BOCA_08_A_11
ABACATE,5,5@444,ABACATE_GEADA_BOCA_12_A_15
ABACAXI,13,13@875,ABACAXI_HAVAÍ_08_FRUTOS
ABACAXI,13,13@289,ABACAXI_HAVAÍ_10_FRUTOS
ABACAXI,13,13@301,ABACAXI_HAVAÍ_12_FRUTOS
ABACAXI,14,14@875,ABACAXI_PÉROLA_08_FRUTOS
ABACAXI,14,14@289,ABACAXI_PÉROLA_10_FRUTOS
ABACAXI,14,14@301,ABACAXI_PÉROLA_12_FRUTOS
ACEROLA,16,16@,ACEROLA_N/A_N/A
AMEIXA,35,35@349,AMEIXA_FORTUNE_CALIBRE_4
AMEIXA,35,35@262,AMEIXA_FORTUNE_CALIBRE_3
AMEIXA,35,35@261,AMEIXA_FORTUNE_CALIBRE_2
AMEIXA,270,270@,AMEIXA_IMP._CHILE_N/A
AMEIXA,30,30@349,AMEIXA_LETÍCIA_CALIBRE_4
AMEIXA,30,30@262,AMEIXA_LETÍCIA_CALIBRE_3
AMEIXA,30,30@261,AMEIXA_LETÍCIA_CALIBRE_2
AMEIXA,32,32@349,AMEIXA_RUBI_MEL_CALIBRE_4
AMEIXA,32,32@262,AMEIXA_RUBI_MEL_CALIBRE_3
AMEIXA,32,32@261,AMEIXA_RUBI_MEL_CALIBRE_2
AMEIXA,36,36@,AMEIXA_SECA_IMP._N/A
AMORA,38,38@,AMORA_N/A_N/A
ATEMOIA,39,39@1269,ATEMOIA_N/A_05_A_08_FRUTOS
ATEMOIA,39,39@889,ATEMOIA_N/A_09_A_12_FRUTOS
ATEMOIA,39,39@39,ATEMOIA_N/A_13_A_18_FRUTOS
BANANA,42,42@241,BANANA_MAÇÃ_PRIMEIRA
BANANA,44,44@241,BANANA_NANICA_CLIMATIZADA_PRIMEIRA
BANANA,44,44@247,BANANA_NANICA_CLIMATIZADA_SEGUNDA
BANANA,45,45@241,BANANA_OURO_VERDE_PRIMEIRA
BANANA,48,48@241,BANANA_PRATA_MG_PRIMEIRA
BANANA,48,48@247,BANANA_PRATA_MG_SEGUNDA
BANANA,50,50@241,BANANA_PRATA_SP_PRIMEIRA
BANANA,50,50@247,BANANA_PRATA_SP_SEGUNDA
BANANA,51,51@241,BANANA_TERRA_PRIMEIRA
CAJU,53,53@877,CAJU_N/A_03_A_04_FRUTOS
CAJU,53,53@53,CAJU_N/A_05_A_06_FRUTOS
CAQUI,54,54@54,CAQUI_CHOCOLATE_30_A_32_FRUTOS
CAQUI,54,54@59,CAQUI_CHOCOLATE_36_A_42_FRUTOS
CAQUI,54,54@60,CAQUI_CHOCOLATE_60_A_64_FRUTAS
CAQUI,57,57@54,CAQUI_RAMA_FORTE_30_A_32_FRUTOS
CAQUI,57,57@59,CAQUI_RAMA_FORTE_36_A_42_FRUTOS
CAQUI,57,57@60,CAQUI_RAMA_FORTE_60_A_64_FRUTAS
CARAMBOLA,60,60@,CARAMBOLA_N/A_N/A
CEREJA,64,64@193,CEREJA_IMP._A
COCO VERDE,68,68@,COCO_VERDE_N/A_N/A
FEIJOA,71,71@,FEIJOA_N/A_N/A
FIGO,72,72@875,FIGO_N/A_08_FRUTOS
FIGO,72,72@289,FIGO_N/A_10_FRUTOS
FRAMBOESA,76,76@,FRAMBOESA_N/A_N/A
GOIABA,77,77@889,GOIABA_BRANCA_09_A_12_FRUTOS
GOIABA,77,77@313,GOIABA_BRANCA_15_FRUTOS
GOIABA,77,77@319,GOIABA_BRANCA_18_FRUTOS
GOIABA,78,78@889,GOIABA_VERMELHA_09_A_12_FRUTOS
GOIABA,78,78@313,GOIABA_VERMELHA_15_FRUTOS
GOIABA,78,78@319,GOIABA_VERMELHA_18_FRUTOS
GRANADILLA,79,79@,GRANADILLA_IMP._COLÔMBIA_N/A
GRAVIOLA,81,81@,GRAVIOLA_N/A_N/A
JABUTICABA,84,84@1038,JABUTICABA_N/A_CXT_1_KG
JACA,85,85@,JACA_N/A_N/A
KINO,88,88@,KINO_N/A_N/A
KIWI,267,267@267,KIWI_IMP._CHILE_60_A_80_FRUTOS
KIWI,89,89@267,KIWI_IMP._ITÁLIA_60_A_80_FRUTOS
LARANJA,94,94@876,LARANJA_BAIA_02_A_03_DZ
LARANJA,94,94@878,LARANJA_BAIA_04_A_05_DZ
LARANJA,94,94@882,LARANJA_BAIA_06_A_07_DZ
LARANJA,93,93@,LARANJA_BAIA_IMP._N/A
LARANJA,95,95@888,LARANJA_LIMA_09_A_12_DZ
LARANJA,95,95@898,LARANJA_LIMA_13_A_15_DZ
LARANJA,95,95@904,LARANJA_LIMA_16_A_21_DZ
LARANJA,96,96@888,LARANJA_PERA_09_A_12_DZ
LARANJA,96,96@898,LARANJA_PERA_13_A_15_DZ
LARANJA,96,96@904,LARANJA_PERA_16_A_21_DZ
LARANJA,97,97@894,LARANJA_SELETA_11_A_12_DZ
LARANJA,97,97@898,LARANJA_SELETA_13_A_15_DZ
LARANJA,97,97@904,LARANJA_SELETA_16_A_21_DZ
LARANJA,98,98@37,LARANJA_VALÊNCIA_A_(10/13_DZ)
LARANJA,98,98@43,LARANJA_VALÊNCIA_B_(14/15_DZ)
LARANJA,98,98@49,LARANJA_VALÊNCIA_C_(18/21_DZ)
LIMA-DA-PÉRSIA,101,101@61,LIMA-DA-PÉRSIA_N/A_A_(09/10_DZ)
LIMA-DA-PÉRSIA,101,101@67,LIMA-DA-PÉRSIA_N/A_B_(13/15_DZ)
LIMA-DA-PÉRSIA,101,101@73,LIMA-DA-PÉRSIA_N/A_C_(18/24_DZ)
LIMÃO,105,105@,LIMÃO_SICILIANO_N/A
LIMÃO,102,102@,LIMÃO_SICILIANO_IMP._N/A
LIMÃO,106,106@901,LIMÃO_TAITI_15_A_18_DZ
LIMÃO,106,106@910,LIMÃO_TAITI_21_A_27_DZ
LIMÃO,106,106@1057,LIMÃO_TAITI_ACIMA_DE_31_DZ
MAÇÃ,114,114@,MAÇÃ_EVA_N/A
MAÇÃ,116,116@116,MAÇÃ_FUJI_80_A_100_FRUTOS
MAÇÃ,116,116@117,MAÇÃ_FUJI_110_A_135_FRUTOS
MAÇÃ,116,116@118,MAÇÃ_FUJI_150_A_180_FRUTOS
