Guerra Produto + Classificação,Grupo,Produto,Variedade,Classificação,CONCAT
1@193,FRUTAS,ABACATE,AVOCADO/HASS/FUERTE,A,ABACATE_A
4@443,FRUTAS,ABACATE,FUCKS,BOCA 8 A 11,ABACATE_BOCA 8 A 11
4@444,FRUTAS,ABACATE,FUCKS,BOCA 12 A 15,ABACATE_BOCA 12 A 15
5@928,FRUTAS,ABACATE,GEADA,BOCA 08 A 11,ABACATE_BOCA 08 A 11
5@444,FRUTAS,ABACATE,GEADA,BOCA 12 A 15,ABACATE_BOCA 12 A 15
13@875,FRUTAS,ABACAXI,HAVAÍ,08 FRUTOS,ABACAXI_08 FRUTOS
13@289,FRUTAS,ABACAXI,HAVAÍ,10 FRUTOS,ABACAXI_10 FRUTOS
13@301,FRUTAS,ABACAXI,HAVAÍ,12 FRUTOS,ABACAXI_12 FRUTOS
14@875,FRUTAS,ABACAXI,PÉROLA,08 FRUTOS,ABACAXI_08 FRUTOS
14@289,FRUTAS,ABACAXI,PÉROLA,10 FRUTOS,ABACAXI_10 FRUTOS
14@301,FRUTAS,ABACAXI,PÉROLA,12 FRUTOS,ABACAXI_12 FRUTOS
16@,FRUTAS,ACEROLA,,,
35@349,FRUTAS,AMEIXA,FORTUNE,CALIBRE 4,AMEIXA_CALIBRE 4
35@262,FRUTAS,AMEIXA,FORTUNE,CALIBRE 3,AMEIXA_CALIBRE 3
35@261,FRUTAS,AMEIXA,FORTUNE,CALIBRE 2,AMEIXA_CALIBRE 2
270@,FRUTAS,AMEIXA,IMP. CHILE,,
30@349,FRUTAS,AMEIXA,LETÍCIA,CALIBRE 4,AMEIXA_CALIBRE 4
30@262,FRUTAS,AMEIXA,LETÍCIA,CALIBRE 3,AMEIXA_CALIBRE 3
30@261,FRUTAS,AMEIXA,LETÍCIA,CALIBRE 2,AMEIXA_CALIBRE 2
32@349,FRUTAS,AMEIXA,RUBI MEL,CALIBRE 4,AMEIXA_CALIBRE 4
32@262,FRUTAS,AMEIXA,RUBI MEL,CALIBRE 3,AMEIXA_CALIBRE 3
32@261,FRUTAS,AMEIXA,RUBI MEL,CALIBRE 2,AMEIXA_CALIBRE 2
36@,FRUTAS,AMEIXA,SECA IMP.,,
38@,FRUTAS,AMORA,,,
39@1269,FRUTAS,ATEMOIA,,05 A 08 FRUTOS,ATEMOIA_05 A 08 FRUTOS
39@889,FRUTAS,ATEMOIA,,09 A 12 FRUTOS,ATEMOIA_09 A 12 FRUTOS
39@39,FRUTAS,ATEMOIA,,13 A 18 FRUTOS,ATEMOIA_13 A 18 FRUTOS
42@241,FRUTAS,BANANA,MAÇÃ,PRIMEIRA,BANANA_PRIMEIRA
44@241,FRUTAS,BANANA,NANICA CLIMATIZADA,PRIMEIRA,BANANA_PRIMEIRA
44@247,FRUTAS,BANANA,NANICA CLIMATIZADA,SEGUNDA,BANANA_SEGUNDA
45@241,FRUTAS,BANANA,OURO VERDE,PRIMEIRA,BANANA_PRIMEIRA
48@241,FRUTAS,BANANA,PRATA MG,PRIMEIRA,BANANA_PRIMEIRA
48@247,FRUTAS,BANANA,PRATA MG,SEGUNDA,BANANA_SEGUNDA
50@241,FRUTAS,BANANA,PRATA SP,PRIMEIRA,BANANA_PRIMEIRA
50@247,FRUTAS,BANANA,PRATA SP,SEGUNDA,BANANA_SEGUNDA
51@241,FRUTAS,BANANA,TERRA,PRIMEIRA,BANANA_PRIMEIRA
53@877,FRUTAS,CAJU,,03 A 04 FRUTOS,CAJU_03 A 04 FRUTOS
53@53,FRUTAS,CAJU,,05 A 06 FRUTOS,CAJU_05 A 06 FRUTOS
54@54,FRUTAS,CAQUI,CHOCOLATE,30 A 32 FRUTOS,CAQUI_30 A 32 FRUTOS
54@59,FRUTAS,CAQUI,CHOCOLATE,36 A 42 FRUTOS,CAQUI_36 A 42 FRUTOS
54@60,FRUTAS,CAQUI,CHOCOLATE,60 A 64 FRUTAS,CAQUI_60 A 64 FRUTAS
57@54,FRUTAS,CAQUI,RAMA FORTE,30 A 32 FRUTOS,CAQUI_30 A 32 FRUTOS
57@59,FRUTAS,CAQUI,RAMA FORTE,36 A 42 FRUTOS,CAQUI_36 A 42 FRUTOS
57@60,FRUTAS,CAQUI,RAMA FORTE,60 A 64 FRUTAS,CAQUI_60 A 64 FRUTAS
60@,FRUTAS,CARAMBOLA,,,
64@193,FRUTAS,CEREJA,IMP.,A,CEREJA_A
68@,FRUTAS,COCO VERDE,,,
71@,FRUTAS,FEIJOA,,,
72@875,FRUTAS,FIGO,,08 FRUTOS,FIGO_08 FRUTOS
72@289,FRUTAS,FIGO,,10 FRUTOS,FIGO_10 FRUTOS
76@,FRUTAS,FRAMBOESA,,,
77@889,FRUTAS,GOIABA,BRANCA,09 A 12 FRUTOS,GOIABA_09 A 12 FRUTOS
77@313,FRUTAS,GOIABA,BRANCA,15 FRUTOS,GOIABA_15 FRUTOS
77@319,FRUTAS,GOIABA,BRANCA,18 FRUTOS,GOIABA_18 FRUTOS
78@889,FRUTAS,GOIABA,VERMELHA,09 A 12 FRUTOS,GOIABA_09 A 12 FRUTOS
78@313,FRUTAS,GOIABA,VERMELHA,15 FRUTOS,GOIABA_15 FRUTOS
78@319,FRUTAS,GOIABA,VERMELHA,18 FRUTOS,GOIABA_18 FRUTOS
79@,FRUTAS,GRANADILLA,IMP. COLÔMBIA,,
81@,FRUTAS,GRAVIOLA,,,
84@1038,FRUTAS,JABUTICABA,,CXT 1 KG,JABUTICABA_CXT 1 KG
85@,FRUTAS,JACA,,,
88@,FRUTAS,KINO,,,
267@267,FRUTAS,KIWI,IMP. CHILE,60 A 80 FRUTOS,KIWI_60 A 80 FRUTOS
89@267,FRUTAS,KIWI,IMP. ITÁLIA,60 A 80 FRUTOS,KIWI_60 A 80 FRUTOS
94@876,FRUTAS,LARANJA,BAIA,02 A 03 DZ,LARANJA_02 A 03 DZ
94@878,FRUTAS,LARANJA,BAIA,04 A 05 DZ,LARANJA_04 A 05 DZ
94@882,FRUTAS,LARANJA,BAIA,06 A 07 DZ,LARANJA_06 A 07 DZ
93@,FRUTAS,LARANJA,BAIA IMP.,,
95@888,FRUTAS,LARANJA,LIMA,09 A 12 DZ,LARANJA_09 A 12 DZ
95@898,FRUTAS,LARANJA,LIMA,13 A 15 DZ,LARANJA_13 A 15 DZ
95@904,FRUTAS,LARANJA,LIMA,16 A 21 DZ,LARANJA_16 A 21 DZ
96@888,FRUTAS,LARANJA,PERA,09 A 12 DZ,LARANJA_09 A 12 DZ
96@898,FRUTAS,LARANJA,PERA,13 A 15 DZ,LARANJA_13 A 15 DZ
96@904,FRUTAS,LARANJA,PERA,16 A 21 DZ,LARANJA_16 A 21 DZ
97@894,FRUTAS,LARANJA,SELETA,11 A 12 DZ,LARANJA_11 A 12 DZ
97@898,FRUTAS,LARANJA,SELETA,13 A 15 DZ,LARANJA_13 A 15 DZ
97@904,FRUTAS,LARANJA,SELETA,16 A 21 DZ,LARANJA_16 A 21 DZ
98@37,FRUTAS,LARANJA,VALÊNCIA,A (10/13 DZ),LARANJA_A (10/13 DZ)
98@43,FRUTAS,LARANJA,VALÊNCIA,B (14/15 DZ),LARANJA_B (14/15 DZ)
98@49,FRUTAS,LARANJA,VALÊNCIA,C (18/21 DZ),LARANJA_C (18/21 DZ)
101@61,FRUTAS,LIMA-DA-PÉRSIA,,A (09/10 DZ),LIMA-DA-PÉRSIA_A (09/10 DZ)
101@67,FRUTAS,LIMA-DA-PÉRSIA,,B (13/15 DZ),LIMA-DA-PÉRSIA_B (13/15 DZ)
101@73,FRUTAS,LIMA-DA-PÉRSIA,,C (18/24 DZ),LIMA-DA-PÉRSIA_C (18/24 DZ)
105@,FRUTAS,LIMÃO,SICILIANO,,
102@,FRUTAS,LIMÃO,SICILIANO IMP.,,
106@901,FRUTAS,LIMÃO,TAITI,15 A 18 DZ,LIMÃO_15 A 18 DZ
106@910,FRUTAS,LIMÃO,TAITI,21 A 27 DZ,LIMÃO_21 A 27 DZ
106@1057,FRUTAS,LIMÃO,TAITI,ACIMA DE 31 DZ,LIMÃO_ACIMA DE 31 DZ
114@,FRUTAS,MAÇÃ,EVA,,
116@116,FRUTAS,MAÇÃ,FUJI,80 A 100 FRUTOS,MAÇÃ_80 A 100 FRUTOS
116@117,FRUTAS,MAÇÃ,FUJI,110 A 135 FRUTOS,MAÇÃ_110 A 135 FRUTOS
116@118,FRUTAS,MAÇÃ,FUJI,150 A 180 FRUTOS,MAÇÃ_150 A 180 FRUTOS
